,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
183,skill,participation,reading,representation,word,representation,child,word,resource,mechanism,reader,representation,reading,skill,child,skill,skill,reading,instruction,language,child,skill,reader,reader,classroom,child,teaching,child,reading,language,difference,diversity,language,education,skill,word,skill,instruction,child,reading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,skill,participation,reading,representation,word,representation,child,word,resource,mechanism,reader,representation,reading,skill,child,skill,skill,reading,instruction,language,child,skill,reader,reader,classroom,child,teaching,child,reading,language,difference,diversity,language,education,skill,word,skill,instruction,child,reading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,skill,participation,reading,representation,word,representation,child,word,resource,mechanism,reader,representation,reading,skill,child,skill,skill,reading,instruction,language,child,skill,reader,reader,classroom,child,teaching,child,reading,language,difference,diversity,language,education,skill,word,skill,instruction,child,reading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,delivery,platform,platform,delivery,carbon,emission,cooperative,network,concept,platform,movement,level,socio,bike,delivery,cooperative,work,movement,economy,choice,barrier,labour,movement,state,art,concept,design,target,bike,chain,transformation,bike,delivery,platform,cooperative,dimension,bike,delivery,cooperation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,delivery,platform,platform,delivery,carbon,emission,cooperative,network,concept,platform,movement,level,socio,bike,delivery,cooperative,work,movement,economy,choice,barrier,labour,movement,state,art,concept,design,target,bike,chain,transformation,bike,delivery,platform,cooperative,dimension,bike,delivery,cooperation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,mobility,welfare,century,woman,recipient,network,mobility,influence,right,institution,legitimacy,institution,aid,domain,aid,slave,woman,material,resource,kinship,family,community,adoption,gender,history,mobility,vision,region,culture,datum,platform,migrant,right,citizen,researcher,mobility,skill,network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,cancer,cancer,mortality,patient,metastasis,cancer,cancer,caf,tumor,repression,environment,hypoxia,cancer,gene,tumor,cell,environment,treatment,hypoxia,caf,function,culture,model,patient,caf,tumor,caf,tumor,carcinogenesis,model,origin,caf,model,datum,caf,hypoxia,carcinogenesis,caf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,language,innovation,text,text,language,pattern,transmission,transformation,text,pattern,transmission,transformation,text,text,action,language,group,information,researcher,action,language,institution,developer,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,healer,practice,scholarship,archive,healer,century,century,datum,problem,medicine,healer,archive,information,datum,practice,healing,activity,archive,healer,material,team,material,culture,institution,archaeology,anthropology,language,skill,management,medicine,region,action,activity,content,participation,event,region,citizen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,healer,practice,scholarship,archive,healer,century,century,datum,problem,medicine,healer,archive,information,datum,practice,healing,activity,archive,healer,material,team,material,culture,institution,archaeology,anthropology,language,skill,management,medicine,region,action,activity,content,participation,event,region,citizen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,drum,energy,origin,drum,energy,repatriation,conversation,datum,drum,drum,drum,document,drum,material,identity,drum,repatriation,energy,community,repatriation,conversation,archive,practice,drum,materiality,material,culture,anthropology,history,archaeology,datum,community,drum,repatriation,self,repatriation,community,repatriation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,history,power,displacement,representation,community,textual,power,representation,slavery,translation,work,image,artist,character,selection,collection,translation,selection,selection,character,artist,selection,selection,translation,accent,selection,artist,production,theory,travel,writer,plot,selection,representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,origin,waste,treatment,policy,region,waste,history,city,rule,city,city,port,city,policy,waste,treatment,adaptation,network,ideology,application,rule,event,war,crisis,waste,treatment,practice,material,history,history,history,network,waste,pollution,policy,migration,waste,value,century,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,reconstruction,secretorum,naturae,nature,chemical,science,figure,philosophy,thought,activity,experimentalism,secretorum,naturae,rise,experimentalism,magic,science,magic,mathematic,century,nature,experimentalism,century,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,relationship,health,relationship,mortality,relationship,couple,interaction,preference,relationship,risk,sacrifice,sacrificer,recipient,relationship,relationship,health,couple,cost,sacrifice,relationship,sacrifice,individual,work,individual,thought,sacrifice,interaction,sacrificer,recipient,sacrifice,communication,style,relationship,relationship,science,communication,cognition,state,art,measure,couple,communication,relationship,couple,sacrifice,intervention,relationship,sacrifice,relationship,health,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,relationship,health,relationship,mortality,relationship,couple,interaction,preference,relationship,risk,sacrifice,sacrificer,recipient,relationship,relationship,health,couple,cost,sacrifice,relationship,sacrifice,individual,work,individual,thought,sacrifice,interaction,sacrificer,recipient,sacrifice,communication,style,relationship,relationship,science,communication,cognition,state,art,measure,couple,communication,relationship,couple,sacrifice,intervention,relationship,sacrifice,relationship,health,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,vulnerability,innovation,action,crisis,climate,event,economy,environment,disaster,state,metamorphosis,metamorphosis,city,climate,adaptation,mitigation,climate,governance,practice,community,post,disaster,scenario,post,war,recovery,climate,transformation,recovery,post,disaster,recovery,instrument,city,state,disaster,climate,resilience,recovery,metamorphosis,climate,emergency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,chip,pursuit,cost,device,miniaturization,chip,micron,size,chip,color,solid,micron,size,color,device,miniaturization,quantum,dot,mobility,emission,state,application,quantum,chemistry,structure,diffraction,property,time,structure,relation,emission,structure,property,chip,laser,concept,device,chip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,level,diversity,ethnicity,thought,identity,identity,group,literature,work,ethnicity,identity,identity,identity,ethnicity,transmission,identity,identity,language,practice,generation,ethnicity,literature,investment,science,mechanism,hand,datum,transmission,generation,marriage,decision,investment,child,identity,driver,intermarriage,datum,parent,preference,child,identity,ethnicity,identity,decision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,level,diversity,ethnicity,thought,identity,identity,group,literature,work,ethnicity,identity,identity,identity,ethnicity,transmission,identity,identity,language,practice,generation,ethnicity,literature,investment,science,mechanism,hand,datum,transmission,generation,marriage,decision,investment,child,identity,driver,intermarriage,datum,parent,preference,child,identity,ethnicity,identity,decision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,protein,cell,structure,cell,component,motor,protein,actin,myosin,change,conformation,myosin,myosin,family,component,muscle,cell,migration,filament,coil,domain,structure,head,actin,coil,filament,behaviour,myosin,family,interaction,time,protein,family,state,actin,evolution,cycle,work,coil,domain,production,function,filament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,speaker,language,childhood,language,innovation,variation,work,influence,language,input,hs,bilingual,language,hs,pattern,speaker,homeland,hs,input,speaker,homeland,language,system,literacy,area,speaker,population,sample,language,power,theory,variation,speaker,level,production,comprehension,language,datum,generation,hs,speaker,homeland,measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,speaker,language,childhood,language,innovation,variation,work,influence,language,input,hs,bilingual,language,hs,pattern,speaker,homeland,hs,input,speaker,homeland,language,system,literacy,area,speaker,population,sample,language,power,theory,variation,speaker,level,production,comprehension,language,datum,generation,hs,speaker,homeland,measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,scarcity,concept,choice,economy,argument,choice,concept,scarcity,semantic,practice,economy,science,century,frame,model,resource,competition,scarcity,resource,food,frame,governance,choice,democracy,policy,logic,competition,resource,concept,scarcity,history,logic,economy,scarcity,governance,economy,device,philosophy,semantic,concept,nature,structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,scarcity,concept,choice,economy,argument,choice,concept,scarcity,semantic,practice,economy,science,century,frame,model,resource,competition,scarcity,resource,food,frame,governance,choice,democracy,policy,logic,competition,resource,concept,scarcity,history,logic,economy,scarcity,governance,economy,device,philosophy,semantic,concept,nature,structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,intelligence,domain,law,enforcement,justice,system,crime,datum,assessment,crime,prediction,level,implementation,scholarship,community,identification,scenario,justice,system,intelligence,community,compliance,system,datum,science,professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,intelligence,domain,law,enforcement,justice,system,crime,datum,assessment,crime,prediction,level,implementation,scholarship,community,identification,scenario,justice,system,intelligence,community,compliance,system,datum,science,professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,image,city,vision,group,city,body,city,family,city,action,population,city,group,agency,life,history,history,archaeology,datum,text,text,city,institution,language,datum,infrastructure,hand,skill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,image,city,vision,group,city,body,city,family,city,action,population,city,group,agency,life,history,history,archaeology,datum,text,text,city,institution,language,datum,infrastructure,hand,skill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,religion,spirituality,comic_strip,artist,audience,growth,comic_strip,production,transformation,culture,relationship,comic_strip,religion,artist,subjectivity,influence,production,religion,audience,transformation,comic_strip,artist,audience,comic_strip,medium,instrument,religion,religion,comic_strip,medium,art,fellow,institution,religion,relationship,art,religion,comic_strip,spirituality,culture,art,discourse,comic_strip,artist,religion,spirituality,comic_strip,medium,religion,spirituality,narrative,audience,comic_strip,religion,comic_strip,comic_strip,,,,,,,,,,,,,,,,,,,,,,
213,performer,relation,music,practice,practice,transformation,material,action,layer,music,body,performer,agent,performer,structure,structure,action,practice,interaction,notation,practice,notation,practice,performance,action,skill,artist,researcher,network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,socio,woman,region,text,history,anthropology,gender,law,time,value,woman,agency,region,woman,life,age,area,history,gender,history,evolution,woman,narrative,age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,socio,woman,region,text,history,anthropology,gender,law,time,value,woman,agency,region,woman,life,age,area,history,gender,history,evolution,woman,narrative,age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,socio,woman,region,text,history,anthropology,gender,law,time,value,woman,agency,region,woman,life,age,area,history,gender,history,evolution,woman,narrative,age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,prosecution,crime,community,prosecution,administration,justice,ideology,regime,theory,theory,emotion,history,community,database,law,material,identity,interaction,community,value,behaviour,component,attitude,arrangement,voluntarism,individual,citizen,foreigner,woman,individual,culture,design,discourse,initiative,voluntarism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,prosecution,crime,community,prosecution,administration,justice,ideology,regime,theory,theory,emotion,history,community,database,law,material,identity,interaction,community,value,behaviour,component,attitude,arrangement,voluntarism,individual,citizen,foreigner,woman,individual,culture,design,discourse,initiative,voluntarism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,interplay,gender,equality,rise,party,backlash,theory,gender,equality,gender,policy,gender,backlash,party,party,woman,politic,rise,vote,share,party,causal,relationship,gender,equality,party,party,vote,share,design,representation,gender,influence,gender,equality,information,party,science,literature,gender,equality,party,datum,relationship,gender,value,movement,change,backlash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,interplay,gender,equality,rise,party,backlash,theory,gender,equality,gender,policy,gender,backlash,party,party,woman,politic,rise,vote,share,party,causal,relationship,gender,equality,party,party,vote,share,design,representation,gender,influence,gender,equality,information,party,science,literature,gender,equality,party,datum,relationship,gender,value,movement,change,backlash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,transformation,welfare,state,system,service,delivery,surveillance,population,datum,ethic,system,interplay,actor,technology,culture,institution,imaginary,application,welfare,service,welfare,recipient,structure,technology,surveillance,welfare,recipient,recipient,offender,monitoring,policy,datum,researcher,theory,policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,transformation,welfare,state,system,service,delivery,surveillance,population,datum,ethic,system,interplay,actor,technology,culture,institution,imaginary,application,welfare,service,welfare,recipient,structure,technology,surveillance,welfare,recipient,recipient,offender,monitoring,policy,datum,researcher,theory,policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,transformation,welfare,state,system,service,delivery,surveillance,population,datum,ethic,system,interplay,actor,technology,culture,institution,imaginary,application,welfare,service,welfare,recipient,structure,technology,surveillance,welfare,recipient,recipient,offender,monitoring,policy,datum,researcher,theory,policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,law,property,system,theory,system,property,transfer,system,behavior,class,system,flow,mixing,property,system,behavior,system,measure,theory,mixing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,nature,river,restoration,agenda,river,restoration,barrier,implementation,actor,river,ontology,river,river,river,restoration,encounter,ontology,state,art,restoration,initiative,river,river,restoration,pathway,actor,restoration,design,river,format,platform,politic,design,design,justice,researcher,skill,action,production,river,restoration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,change,sleep,pattern,dementia,sleep,duration,dementia,sleep,duration,genetic,influence,mechanism,sleep,risk,dementia,sleep,relationship,rhythm,cycle,body,dementia,dementia,system,symptom,dementia,sleep,pattern,time,activity,individual,rhythm,motor,activity,dementia,rhythm,dementia,dementia,datum,sleep,risk,score,risk,dementia,difference,dementia,risk,sleep,sleep,lifestyle,datum,datum,relation,dementia,dementia,risk,sex,ethnicity,work,lifestyle,risk,score,dementia,risk,score,,,,,,,,,,,,,,
227,welfare,state,reform,change,policy,rhetoric,welfare,state,reform,demography,assessment,age,sex,migration,demography,welfare,state,policy,welfare,state,age,health,care,family,policy,actor,institution,problem,sustainability,system,historiography,welfare,state,history,history,science,origin,discourse,welfare,state,crisis,transformation,welfare,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,chemical,safety,medicine,citizen,hand,hand,innovation,reaction,flow,energy,reaction,reaction,network,system,industry,behavior,datum,structure,industry,change,time,power,law,network,connectivity,population,structure,chemical,conversion,implementation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,city,medium,filmmaking,production,city,action,relation,population,vision,problem,city,city,nature,nexus,frame,filmmaking,post,work,phase,post,action,production,city,city,design,philosophy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,mobility,lifestyle,migrant,migrant,citizen,migratory,flow,woman,relationship,man,man,woman,man,woman,family,gender,norm,origin,regime,power,relation,power,relation,gender,group,gender,class,relation,level,individual,relationship,diversity,family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,emission,combustion,engine,energy,time,demand,energy,density,battery,vehicle,lithium,ion,ion,battery,requirement,combustion,engine,battery,energy,density,cycle,life,material,material,ion,technology,lithium,battery,anode,battery,safety,risk,formation,dendrite,anode,material,anode,application,anode,cathode,viability,material,cathode,anode,battery,cycle,life,cycle,anode,cathode,material,cycle,material,material,sustainability,cost,safety,group,fellowship,platform,researcher,,,,,,,,,,,,,,,,,
232,crisis,politic,policy,economy,gender,policy,gender,governance,woman,woman,representation,policy,crisis,assessment,pandemic,driver,gender,recovery,governance,gender,equality,policy,text,datum,gender,policy,content,politic,policy,institution,policy,environment,frontier,crisis,gender,equality,policy,fellow,policy,network,institution,city,gender,time,management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,crisis,politic,policy,economy,gender,policy,gender,governance,woman,woman,representation,policy,crisis,assessment,pandemic,driver,gender,recovery,governance,gender,equality,policy,text,datum,gender,policy,content,politic,policy,institution,policy,environment,frontier,crisis,gender,equality,policy,fellow,policy,network,institution,city,gender,time,management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,land,change,region,population,farming,area,plantation,infrastructure,production,agriculture,settler,adaptation,farming,area,agriculture,farming,practice,century,sugar,plantation,agriculture,design,management,plantation,agriculture,interaction,system,production,sugar,industry,population,value,landscape,practice,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,activity,tsunamis,hazard,risk,assessment,landslide,tsunamis,event,risk,assessment,landslide,tsunamis,landslide,tsunamis,submarine,landslide,ocean,risk,landslide,tsunamis,landslide,water,landslide,interaction,tsunami,generation,accuracy,tsunami,hazard,phase,phase,submarine,landslide,deposit,mechanism,evolution,eruption,mechanism,landslide,mobility,phase,landslide,interaction,air,water,soil,energy,transfer,wave,generation,equation,landslide,datum,tsunami,hazard,assessment,,,,,,,,,,,,,,,,,,,,,,
236,climate,technology,sustainability,resilience,system,decision,pathway,climate,adaptation,convergence,climate,adaptation,initiative,datum,area,model,pattern,convergence,decision,guide,fellow,proficiency,management,environment,skill,ecosystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,dispossession,property,conflict,region,region,dispossession,climate,change,conflict,crisis,housing,land,property,right,formation,property,right,practice,property,right,technology,property,right,community,property,regime,property,regime,regime,proof,work,platform,land,property,ownership,exercise,actor,organization,information,communication,technology,property,right,work,innovation,property,property,right,property,right,community,advocacy,interaction,policy,,,,,,,,,,,,,,,,,,,,,,,,
238,poultry,animal,protein,poultry,climate,adaptation,farming,practice,demand,diversity,diversity,implementation,poultry,cryopreservation,conservation,male,chicken,germplasm,gene,banking,chicken,material,cryopreservation,chicken,structure,gene,sex,chromosome,cryopreservation,chicken,germplasm,material,cost,gene,banking,poultry,specie,conservation,level,action,level,maintenance,biodiversity,food,security,climate,change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,climate,action,net,atmosphere,emission,emission,atmosphere,temperature,net,climate,scenario,nets,socio,imaginary,climate,scenario,climate,action,nets,oil,gas,company,net,company,model,climate,device,scenario,device,net,net,climate,action,device,climate,politic,net,cost,carbon,climate,mitigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,community,climate,change,relationship,environment,culture,resource,right,climate,change,biodiversity,plot,woman,transmission,land,woman,organization,resource,right,woman,nature,life,production,transmission,biodiversity,practice,woman,woman,region,relationship,nature,level,technology,technology,action,mitigation,climate,change,platform,community,datum,property,community,initiative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,chemical,pollution,threat,health,biodiversity,ecosystem,service,sink,pollution,sediment,sea,biota,pathway,food,fjord,climate,fellow,level,change,isotope,discrimination,transfer,application,isotope,fjord,system,pathway,accumulation,change,management,pollutant,climate,institution,skill,pollution,science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,climate,temperature,rise,region,change,temperature,health,wellbeing,life,population,heat,burden,disease,mortality,climate,health,level,adaptation,evolution,mortality,risk,burden,temperature,driver,database,count,death,climate,dataset,datum,decision,decision,level,governance,level,health,unit,region,datum,climate,risk,climate,change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,climate,temperature,rise,region,change,temperature,health,wellbeing,life,population,heat,burden,disease,mortality,climate,health,level,adaptation,evolution,mortality,risk,burden,temperature,driver,database,count,death,climate,dataset,datum,decision,decision,level,governance,level,health,unit,region,datum,climate,risk,climate,change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,heatwave,water,event,ecosystem,frequency,threat,island,resource,socio,adaptation,adaptation,vulnerability,group,resource,user,theory,value,nature,nature,climate,change,adaptation,relationship,decision,adaptation,value,nature,resource,user,decision,value,nature,production,climate,change,adaptation,science,climate,change,adaptation,voice,area,implementation,skill,science,region,actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,warfare,area,energy,resource,climate,security,nexus,edts,policy,event,institution,competition,energy,resource,climate,security,policy,edts,competition,area,energy,resource,climate,security,nexus,policy,energy,resource,climate,security,nexus,area,technology,energy,resource,climate,security,competition,policy,member,resource,level,climate,change,threat,work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,warfare,area,energy,resource,climate,security,nexus,edts,policy,event,institution,competition,energy,resource,climate,security,policy,edts,competition,area,energy,resource,climate,security,nexus,policy,energy,resource,climate,security,nexus,area,technology,energy,resource,climate,security,competition,policy,member,resource,level,climate,change,threat,work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,warfare,area,energy,resource,climate,security,nexus,edts,policy,event,institution,competition,energy,resource,climate,security,policy,edts,competition,area,energy,resource,climate,security,nexus,policy,energy,resource,climate,security,nexus,area,technology,energy,resource,climate,security,competition,policy,member,resource,level,climate,change,threat,work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,climate,change,scenario,specie,specie,selection,immigrant,area,climate,isolation,isolation,rescue,climate,change,climate,change,change,specie,migration,landscape,genomic,modelling,climate,change,vulnerability,fairy,shrimp,specie,population,specie,adaptation,level,population,connectivity,rescue,area,migration,design,conservation,measure,fairy,shrimp,specie,climate,change,specie,diversity,latitude,fairy,ecosystem,landscape,genomic,conservation,genomic,invertebrate,,,,,,,,,,,,,,,,,,,,,,,
249,peace,security,change,conflict,environment,governance,climate,change,problem,drought,fire,conflict,vulnerability,state,community,water,conflict,resource,water,conflict,peace,security,policy,practice,change,climate,change,science,initiative,datum,machine,learning,medium,climate,conflict,activity,post,truth,politic,technology,power,climate,change,conflict,conflict,narrative,practice,truth,datum,truth,climate,conflict,risk,climate,change,technology,power,post,truth,politic,water,resource,influence,conflict,norm,peace,security,intervention,intervention,water,governance,water,conflict,,,,,
250,peace,security,change,conflict,environment,governance,climate,change,problem,drought,fire,conflict,vulnerability,state,community,water,conflict,resource,water,conflict,peace,security,policy,practice,change,climate,change,science,initiative,datum,machine,learning,medium,climate,conflict,activity,post,truth,politic,technology,power,climate,change,conflict,conflict,narrative,practice,truth,datum,truth,climate,conflict,risk,climate,change,technology,power,post,truth,politic,water,resource,influence,conflict,norm,peace,security,intervention,intervention,water,governance,water,conflict,,,,,
251,climate,emergency,carbon,emission,climate,change,land,time,system,landscape,sequestration,interaction,sustainability,landscape,heritage,sequestration,landscape,archaeology,soil,pollution,innovation,model,datum,climate,change,mitigation,agriculture,model,sequestration,sequestration,landscape,management,climate,change,mitigation,identity,model,region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,value,assessment,model,iam,climate,change,policy,nature,value,individual,community,actor,model,design,policy,decision,choice,iam,practice,resolution,iam,model,design,assessment,climate,competence,modelling,climate,change,ethic,skill,hand,modelling,practice,literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,forest,carbon,sink,climate,disturbance,fire,drought,insect,outbreak,land,plantation,resolution,generation,severity,disturbance,forest,resistance,recovery,climate,compound,event,disturbance,generation,satellite,resolution,resolution,level,dataset,mortality,biomass,carbon,recovery,forest,state,art,resolution,literature,biomass,change,forest,climate,change,vulnerability,ecosystem,service,carbon,sink,production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,socio,climate,change,technology,economy,transition,carbon,tipping,action,population,change,stp,consumer,intervention,policy,tax,agreement,problem,mechanism,tipping,sustainability,system,tipping,system,stp,model,system,change,influence,driver,change,system,tipping,system,sustainability,assessment,team,fellowship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,climate,change,mitigation,transition,energy,production,climate,change,mitigation,transition,energy,production,technology,energy,production,heat,region,economy,problem,safety,seismicity,earthquake,energy,production,seismicity,datum,acquisition,technology,learning,seismicity,resolution,accuracy,generation,datum,learning,learning,performance,seismicity,model,physics,machine,seismicity,dataset,transition,energy,production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,vector,disease,threat,health,population,risk,climate,change,vector,pattern,disease,vector,vector,pathogen,climate,outbreak,scenario,climate,change,vector,pathogen,disturbance,disease,transmission,climate,change,threat,model,snail,disease,model,snail,specie,climate,change,modelling,transmission,modelling,forecast,snail,area,risk,transmission,health,modelling,climate,change,snail,disease,mosquito,disease,fever,fever,intervention,disease,,,,,,,,,,,,,,,,,,,,,,,
257,sustainability,policy,institution,decision,technology,cooperation,agreement,agreement,cooperation,climate,change,agreement,environment,concept,right,law,science,science,citizen,climate,change,implementation,skill,competence,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,sustainability,policy,institution,decision,technology,cooperation,agreement,agreement,cooperation,climate,change,agreement,environment,concept,right,law,science,science,citizen,climate,change,implementation,skill,competence,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,sustainability,policy,institution,decision,technology,cooperation,agreement,agreement,cooperation,climate,change,agreement,environment,concept,right,law,science,science,citizen,climate,change,implementation,skill,competence,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,carbon,emission,climate,change,carbon,city,housing,transportation,century,percent,percent,population,housing,housing,carbon,area,land,policy,group,institution,land,policy,group,housing,land,group,institution,behavior,region,reform,democracy,climate,change,group,transition,formation,group,group,institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,climate,change,biodiversity,specie,specie,climate,specie,climate,population,conservation,life,history,difference,difference,demography,climate,vulnerability,specie,resilience,specie,change,population,resilience,dataset,datum,population,change,specie,fellowship,datum,vertebrate,ecosystem,specie,climate,specie,population,climate,resilience,vertebrate,resilience,population,level,climate,change,group,climate,information,conservation,assessment,fellowship,population,change,climate,change,,,,,,,,,,,,,,,,,,,,,,,,
262,woman,ocean,woman,security,security,emergency,climate,food,security,biodiversity,security,nature,relationship,land,ocean,ocean,woman,family,shellfish,sea,sea,shellfish,century,woman,change,sea,variation,information,security,community,sea,woman,history,food,resource,woman,navigation,teacher,woman,ocean,governance,ocean,relation,community,science,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,woman,ocean,woman,security,security,emergency,climate,food,security,biodiversity,security,nature,relationship,land,ocean,ocean,woman,family,shellfish,sea,sea,shellfish,century,woman,change,sea,variation,information,security,community,sea,woman,history,food,resource,woman,navigation,teacher,woman,ocean,governance,ocean,relation,community,science,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,news,medium,climate,change,migration,news,medium,discourse,narrative,news,medium,activist,nature,structure,narrative,relation,climate,change,advocacy,policy,news,medium,disaster,pandemic,audience,policy,platform,activist,power,representation,climate,mobility,regime,mobility,justice,narrative,frame,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,news,medium,climate,change,migration,news,medium,discourse,narrative,news,medium,activist,nature,structure,narrative,relation,climate,change,advocacy,policy,news,medium,disaster,pandemic,audience,policy,platform,activist,power,representation,climate,mobility,regime,mobility,justice,narrative,frame,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
